DIETHYL AMINE,301
DIETHYL DISULFIDE,0
DIETHYL KETONE,336
DIETHYL SULFIDE,318
DIETHYLENE GLYCOL,316
DIHEXYL ETHER,720
DIISOPROPYL ETHER,386
DIMETHYL ETHER,178
DIMETHYL OXALATE,0
DIMETHYL SULFIDE,201
DIPHENYL,502
DIPHENYL ETHER,0
DIPHENYLMETHANE,0
DIPROPYLAMINE,407
DODECANOL,718
ETHANE,148
ETHANOL,167
ETHYL ACETATE,286
ETHYL ACRYLATE,320
ETHYL AMINE,178
ETHYL BENZOATE,451
ETHYL BROMIDE,215
ETHYL BUTYL ETHER,390
ETHYL BUTYRATE,395
ETHYL CHLORIDE,199
ETHYL ETHER,280
ETHYL FLUORIDE,169
ETHYL FORMATE,229
ETHYL ISOBUTYRATE,410
ETHYL MERCAPTAN,207
ETHYL PROPIONATE,345
ETHYL PROPYL ETHER,0
ETHYLBENZENE,374
ETHYLCYCLOHEXANE,450
ETHYLCYCLOPENTANE,375
ETHYLENE,129
ETHYLENE GLYCOL,186
ETHYLENE IMINE,0
ETHYLENE OXIDE,140
ETHYLENEDIAMINE,206
FLUORINE,66.2
FLUOROBENZENE,271
FORMALDEHYDE,0
FORMIC ACID,0
FURAN,218
GLYCEROL,255
HELIUM-4,57.3
HEPTADECANOL,0
HYDRAZINE,96.1
HYDROGEN,65
HYDROGEN BROMIDE,100
HYDROGEN CHLORIDE,81
HYDROGEN CYANIDE,139
HYDROGEN FLUORIDE,69
HYDROGEN IODIDE,131
HYDROGEN SULFIDE,98.5
IODINE,155
IODOBENZENE,351
ISOBUTANE,263
ISOBUTANOL,273
ISOBUTYL ACETATE,414
ISOBUTYL AMINE,284
ISOBUTYL FORMATE,350
ISOBUTYLBENZENE,480
ISOBUTYLCYCLOHEXANE,0
ISOBUTYLENE,239
ISOBUTYRALDEHYDE,274
ISOBUTYRIC ACID,292
ISOPROPYL ALCOHOL,220
ISOPROPYL AMINE,229
ISOPROPYL CHLORIDE,230
ISOPROPYLBENZENE,428
ISOPROPYLCYCLOHEXANE,0
ISOPROPYLCYCLOPENTANE,0
KETENE,145
KRYPTON,91.2
MALEIC ANHYDRIDE,0
M-CRESOL,310
M-DICHLOROBENZENE,359
METHANE,99
METHANOL,118
METHYCYCLOPENTANE,319
METHYL ACETATE,228
METHYL ACETYLENE,164
METHYL ACRYLATE,265
METHYL AMINE,140
METHYL BENZOATE,396
METHYL BROMIDE,0
METHYL BUTYRATE,340
METHYL CHLORIDE,139
METHYL ETHYL ETHER,221
METHYL ETHYL KETONE,267
METHYL ETHYL SULFIDE,0
METHYL FLUORIDE,124
METHYL FORMATE,172
METHYL HYDRAZINE,271
METHYL IODIDE,190
METHYL ISOBUTYL KETONE,371
METHYL ISOBUTYRATE,339
METHYL ISOCYANATE,0
METHYL ISOPROPYL KETONE,310
METHYL MERCAPTAN,145
METHYL N-PROPYL KETONE,301
METHYL PHENYL ETHER,0
METHYL PHENYL KETONE,376
METHYL PROPIONATE,282
METHYLAL,0
METHYLCYCLOHEXANE,368
M-ETHYLPHENOL,0
METHYLPHENYLAMINE,0
MONOETHANOLAMINE,196
MORPHOLINE,253
M-TERPHENYL,784
M-TOLUIDINE,343
M-XYLENE,376
"N,N-DIMETHYLANILINE",0
NAPHTHALENE,410
N-BUTANE,255
N-BUTANOL,274
N-BUTYL AMINE,288
N-BUTYL-ACETATE,371
N-BUTYLANILINE,518
N-BUTYLBENZENE,497
N-BUTYLCYCLOHEXANE,0
N-BUTYRALDEHYDE,278
N-BUTYRIC ACID,292
N-DECANE,603
N-DECYCLCYCLOPENTANE,0
N-DECYCYCLOHEXANE,0
N-DODECENE,713
N-DODECYCLOPENTANE,0
N-EICOSANE,0
NEON,41.7
N-HEPTADECANE,1000
N-HEPTANE,432
N-HEPTYLCYCLOPENTANE,0
N-HEXADECANE,0
N-HEXADECYLCYCLOPENTANE,0
N-HEXANE,370
N-HEXYLCYCLOPENTANE,0
NITRIC OXIDE,58
NITROGEN,89.5
NITROGEN DIOXIDE,170
NITROGEN TRIFLUORIDE,0
NITROMETHANE,173
NITROSYL CHLORIDE,139
NITROUS OXIDE,97.4
N-NONADECANE,0
N-NONANE,548
N-NONYCLYCLOPENTANE,0
N-OCTADECANE,0
N-OCTANE,492
N-OCTYLCYCLOPENTANE,0
N-PENTADECANE,880
N-PENTADECYLCYCLOPENTANE,0
N-PENTANE,304
N-PROPYL ACETATE,345
N-PROPYL AMINE,233
N-PROPYL FORMATE,285
N-PROPYL PROPIONATE,0
N-PROPYLBENZENE,440
N-PROPYLCYCLOHEXANE,0
N-PROPYLCYCLOPENTANE,425
N-TETRADECANE,830
N-TETRADECYCLOPENT,0
N-TRIDECANE,780
N-TRIDECYLCYCLOPENTANE,0
N-UNDECENE,660
N-VALERIC ACID,340
O-CRESOL,282
O-DICHLOROBENZENE,360
O-ETHYLPHENOL,0
O-TERPHENYL,769
O-TOLUIDINE,343
OXYGEN,73.4
O-XYLENE,369
OZONE,88.9
P-CRESOL,0
P-DICLOROBENZENE,372
PERFLUOROBENZENE,0
PERFLUOROCYCLOHEXANE,0
PERFLUOROETHANE,175
PERFLUOROETHANE,224
PERFLUOROMETHYLCYCLOHEXANE,0
PERFLUORO-N-HEPTANE,664
PERFLUORO-N-HEXANE,442
P-ETHYLPHENOL,0
PHENANTHRENE,0
PHENETOLE,0
PHENOL,229
PHOSGENE,190
PHOSPHORUS TRICHLORIDE,260
PHTHALIC ANHYDRIDE,368
PIPERIDINE,289
PROPADIENE,162
PROPANE,203
PROPIONALDEHYDE,223
PROPIONIC ACID,230
PROPIONITRILE,230
PROPYL CHLORIDE,254
PROPYLENE,181
PROPYLENE OXIDE,186
P-TERPHENYL,779
P-TOLUIDINE,0
P-XYLENE,379
PYRIDINE,254
PYRROLE,0
PYRROLIDINE,249
SEC-BUTYLBENZENE,0
SEC-BUTYLCYCLOHEXANE,0
SILICON TETRACHLORIDE,326
SILICON TETRAFLUORIDE,0
STYRENE,0
SUCCINIC ACID,0
SULFUR DIOXIDE,122
SULFUR HEXAFLUORIDE,198
SULFUR TRIOXIDE,130
TERT-BUTANOL,275
TERT-BUTYL CHLORIDE,295
TERT-BUTYLBENZENE,0
TERT-BUTYLCYCLOHEXANE,0
TETRACHLOROETHYLENE,290
TETRAHYDROFURAN,224
THIOPHENE,219
TOLUENE,316
